"","desconfia","promercado","antidemocr"
"1",0.837438354584469,0.868897532952738,0.0680495432081695
"2",0.456413278267526,0.945531821740538,0.112626232641455
"3",0.635772751977462,0.941027203766317,0.204973090463609
"4",0.511666198924231,0.92565446482547,0.107240409506833
"5",0.730808742816245,0.902282575558796,0.272108232624373
"6",0.511261224201654,0.969960871185131,0.101846797959181
"7",0.513540989989202,0.720542268598745,0.132209609246307
"8",0.506132701445065,0.907339464364439,0.303330782556599
"9",0.992709110441153,0.53659691221161,0.204139338208045
"10",0.980098717323854,0.668822946478075,0.575764504739907
"11",0.987698771783882,0.46104553115373,0.407197344805586
"12",0.992462540065412,0.667461376528641,0.155918148951472
"13",0.988605462437558,0.36184871143958,0.419273005105305
"14",0.994592196798075,0.501493216109673,0.155288678629211
"15",0.981819992838606,0.480506174684943,0.598689124414878
"16",0.987048916679745,0.703059213995254,0.32461198142362
"17",0.892243414737004,0.898018516882049,0.0566989389344789
"18",0.993221091546049,0.755387826301524,0.0920904946212908
"19",0.987199025734631,0.619608771827836,0.355604263033005
"20",0.664121875758315,0.656322022198925,0.311820659827625
"21",0.670542590882208,0.68145899750778,0.0826093292613557
"22",0.669510116489492,0.41572449733544,0.232663308600796
"23",0.996215782071383,0.427752623559639,0.131974952832164
"24",0.857902522521395,0.793351676456411,0.352554675141981
"25",0.421292802730814,0.787184612917219,0.780555660983229
"26",0.457085204203765,0.391216457657224,0.651892370571304
"27",0.860734453171638,0.416495570271599,0.419264504339055
"28",0.850270515442564,0.447943287707304,0.761490861024991
"29",0.532806071223437,0.458885020558267,0.632834738780198
"30",0.79041342327242,0.536532992867831,0.393716681846597
"31",0.79022165735653,0.557513212426482,0.391162668470626
"32",0.789506732618744,0.635729812581981,0.381641021546879
"33",0.886415780375551,0.637079276170434,0.367739490022627
"34",0.734275254852836,0.65326120225469,0.387312429477209
"35",0.734545238001221,0.623723598014916,0.390908170508977
"36",0.88809417010871,0.45345443886202,0.390092940106181
"37",0.666970632727356,0.968362031606003,0.0799738639430817
"38",0.0812611271899659,0.927580855867219,0.446118573882714
"39",0.592655258907748,0.258711018980428,0.423770645144363
"40",0.600338797215264,0.881846754075231,0.518323430821654
"41",0.742674081041019,0.632898268897787,0.110516015503662
"42",0.74196112618508,0.814787696372902,0.0560833355594014
"43",0.85588617873723,0.598017886655537,0.50561333762942
"44",0.670407599308016,0.696227799627667,0.0808114587454718
