"","fundamentalism","desconfia","antidemocr"
"1",0.779996850697814,0.97999885461988,0.530648343136237
"2",0.530338059478533,0.533273222780593,0.380731125215314
"3",0.916559608029871,0.76525415641521,0.916702045923233
"4",0.97914897727188,0.82560382386613,0.273403518724793
"5",0.960806557559522,0.668887154502543,0.213855590911892
"6",0.979351153395591,0.987248501898244,0.318070849423203
"7",0.953779745670278,0.973756956803837,0.744767910608479
"8",0.805693751478928,0.62174368215867,0.398782644308443
"9",0.470195658645121,0.648959187738386,0.670429575427529
"10",0.740828411743538,0.33308832615876,0.503940830194264
"11",0.737596915121315,0.829346479263715,0.157280429352479
"12",0.974330592146661,0.662283279173517,0.3796465707779
"13",0.444958404647243,0.8542827416847,0.369292922379203
"14",0.785237532977913,0.955714129112357,0.159096741098958
"15",0.963029016614936,0.620589113071359,0.509473359851177
"16",0.964056360307385,0.698662247050588,0.452097386839266
"17",0.941498442112111,0.950753363925139,0.313576995604177
"18",0.991865660570061,0.99406397801531,0.155490404259442
"19",0.0328532231744718,0.964374491965679,0.703515743132242
"20",0.821477561133119,0.943458301446893,0.489042261347253
"21",0.903306757729581,0.98840094056548,0.279520995391262
"22",0.984079072806715,0.788404767102743,0.262875218490562
"23",0.893727958287362,0.661909761041785,0.377076245817527
"24",0.773609471398122,0.983820210211165,0.357685179342347
"25",0.82620904991304,0.979720002845531,0.513476401615125
"26",0.859802049629486,0.661441584851543,0.406801683981715
"27",0.985528555811181,0.990107709116523,0.247393397494071
"28",0.770258804792856,0.594484546860848,0.26807040502771
"29",0.470571304924003,0.984274673651724,0.272384320501007
"30",0.980084323298714,0.948940873424807,0.334702611259506
"31",0.478353405649198,0.615363069756365,0.473993761705295
"32",0.965819773326725,0.623791581488861,0.451366219190069
"33",0.9575064743396,0.664360543448541,0.333047379050919
"34",0.984262204441852,0.791757998550149,0.276899548636805
"35",0.976848149553971,0.827760402176973,0.229448126380249
"36",0.471638110234844,0.818305911348742,0.368283717778114
"37",0.967230144690932,0.617893278677754,0.552800047529788
"38",0.972090716962836,0.544855297720262,0.327014703335626
"39",0.320750185498949,0.32864521648103,0.516159003676193
"40",0.965224669219491,0.902305433986122,0.576000768819605
"41",0.242622542490892,0.64796796516566,0.580745314846725
"42",0.121065515856136,0.600415538954569,0.804943473068458
"43",0.954996939423712,0.786902086913797,0.446259079236396
