"","fundamentalism","desconfia","promercado"
"1",0.999214478477894,0.999450683649455,0.441662780952764
"2",0.769817973197619,0.75202177229876,0.428811086889726
"3",0.661103915686623,0.998801781137354,0.194184735862706
"4",0.968590349239496,0.666946102297156,0.746795349158878
"5",0.909269545190063,0.998777778055798,0.7558910832549
"6",0.609114386257092,0.751792646542866,0.25094350684613
"7",0.880425939461561,0.627567952673989,0.840533221275062
"8",0.206584735760868,0.664908549069091,0.62595879674162
"9",0.861550936834451,0.999215679938618,0.318717297479027
"10",0.679992598144651,0.619780054999916,0.826281353800707
"11",0.402516691618789,0.45727560358211,0.940329733635283
"12",0.475200327456223,0.998382595374716,0.105518105420971
"13",0.430211608341969,0.665064734702536,0.997037782366713
"14",0.644602864613851,0.585391413222826,0.25162917918864
"15",0.993290918541372,0.666766147041196,0.937599714732253
"16",0.751274131246375,0.334033925634613,0.952729288835403
"17",0.908025158748423,0.952298523339062,0.942914278619224
"18",0.0991820714557611,0.996950774018613,0.369804129747921
"19",0.159762170085645,0.830669119696144,0.334595631075853
"20",0.916322493796404,0.546521330055253,0.747520570440292
"21",0.751486825513735,0.334051439970515,0.939889511724763
"22",0.97990639415181,0.627650604577834,0.995600532585654
"23",0.982804523637625,0.667551292629798,0.318163171143154
"24",0.295950082366048,0.911463276560362,0.99626252181696
"25",0.962570101549612,0.00375025572050549,0.100438605395208
"26",0.993290918541372,0.666766147041196,0.937599714732253
"27",0.996620264466939,0.668007880690286,0.00155096687912648
"28",0.997456175596539,0.998794896025735,0.936011294815217
"29",0.996386929812595,0.913561179283186,0.936419051473913
"30",0.993806270875773,0.582123431909121,0.492496215520083
"31",0.828331566759281,0.420224767355994,0.391608325097292
"32",0.99482840569973,0.789325194660094,0.93701339432221
"33",0.093071734491141,0.670405912150345,0.940227044798378
"34",0.158006565646755,0.791194554921068,0.690810997725901
"35",0.883741657707433,0.743502991471537,0.384327574255494
"36",0.936921768903524,0.999362957182436,0.371890044292366
"37",0.999901099626613,0.999706770161222,0.248618597237174
"38",0.780241158304103,0.666134266346213,0.951067667950016
"39",0.99008920262454,0.256471178486826,0.390049374010203
"40",0.470023817455903,0.666068555170881,0.3216264745814
"41",0.982924235228278,0.743566417240641,0.55334856246443
"42",0.989079994614224,0.334720365854881,0.952027418788376
"43",0.520085130751516,0.666472648255237,0.124270619714913
"44",0.805927712313634,0.496652201790105,0.264238094364363
"45",0.984026628952856,0.952467204782687,0.981207412809025
"46",0.780104157688162,0.666083169740884,0.989585520367276
"47",0.992837000773109,0.420956526492678,0.195953297102239
"48",0.073042459549151,0.0853069760922001,0.943063426010455
"49",0.66638331753937,0.334696500425888,0.263467014891756
"50",0.793377630573727,0.606947734867356,0.592323687232778
"51",0.519802186851999,0.746002889924071,0.69469857338967
"52",0.469503390147172,0.665782581356919,0.537739873692805
"53",0.580408537059768,0.627006107497969,0.610340349902004
"54",0.517362212916401,0.580683981103229,0.542650416810055
"55",0.546882941132809,0.00136806171104872,0.999845686587001
"56",0.982690015755842,0.833239219770976,0.936840588171294
"57",0.0948532324194423,0.58722144731815,0.142634822851478
"58",0.469445522923993,0.824632009633903,0.85997494919102
"59",0.979531927620699,0.581495800623821,0.938044924428859
"60",0.649004603164191,0.118741460096774,0.941212682053868
"61",0.345708483491965,0.996896688669513,0.950774039228242
"62",0.357169148792818,0.911639988895573,0.996081837335831
